image_urls,images,sku
https://secure.img1-fg.wfcdn.com/im/36720265/resize-h800-w800%5Ecompr-r85/8245/82450382/Peralta+Large+Art+Deco+Cherries+Decoration+Sculpture.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/36720265/resize-h800-w800%5Ecompr-r85/8245/82450382/Peralta+Large+Art+Deco+Cherries+Decoration+Sculpture.jpg', 'path': 'full/2d786f14fcfa0da5d7eb870a7e26f9c0e77e0212.jpg', 'checksum': '66a19e1cd19ea252a75337a361a9fbda'}]",AAST2150
https://secure.img1-fg.wfcdn.com/im/93975197/resize-h800-w800%5Ecompr-r85/5457/54575918/Max+Bruce+2+Piece+Decorative+Bottle+Set.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/93975197/resize-h800-w800%5Ecompr-r85/5457/54575918/Max+Bruce+2+Piece+Decorative+Bottle+Set.jpg', 'path': 'full/7fa73ff268c529e444d5c85d76a74335f1e799e7.jpg', 'checksum': '728da48dbfb7e8909fbe23437cf61661'}]",CCDH1222
https://secure.img1-fg.wfcdn.com/im/84410972/resize-h800-w800%5Ecompr-r85/8770/87704340/By+My+Side+Figurine.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/84410972/resize-h800-w800%5Ecompr-r85/8770/87704340/By+My+Side+Figurine.jpg', 'path': 'full/21e9337770d083294067ebefd2f2bb4f40c6b6ec.jpg', 'checksum': 'f852992e401aeac6a1c041595a46e323'}]",WITR1031
https://secure.img1-fg.wfcdn.com/im/33530123/resize-h800-w800%5Ecompr-r85/7512/75122557/Daisy+Small+Angel+Wings+Wall+Sculpture.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/33530123/resize-h800-w800%5Ecompr-r85/7512/75122557/Daisy+Small+Angel+Wings+Wall+Sculpture.jpg', 'path': 'full/cf3a695281366b2ace0df493833e694cd26436df.jpg', 'checksum': 'c5a9231f704d89ecdfd47375732056f1'}]",GDML1000
https://secure.img1-fg.wfcdn.com/im/87113968/resize-h800-w800%5Ecompr-r85/7225/72253389/Kipton+Table+Tree+Sculpture.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/87113968/resize-h800-w800%5Ecompr-r85/7225/72253389/Kipton+Table+Tree+Sculpture.jpg', 'path': 'full/e56485c52db38a346eefa88eb44cf0cb066bd81a.jpg', 'checksum': 'a3744a6b659eac2f1e99f6048cb1e677'}]",HBRH1000
https://secure.img1-fg.wfcdn.com/im/64557004/resize-h800-w800%5Ecompr-r85/5117/51175196/Bexley+Love+Letter+Block.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/64557004/resize-h800-w800%5Ecompr-r85/5117/51175196/Bexley+Love+Letter+Block.jpg', 'path': 'full/60e68772f5f18cd8c78d0aa52fe67b6cece3c1f2.jpg', 'checksum': 'cdc16593ebe319116520ff0f49c247cc'}]",TPOS1592
https://secure.img1-fg.wfcdn.com/im/71671945/resize-h800-w800%5Ecompr-r85/5497/54976122/Shih+Tzu+Figurine.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/71671945/resize-h800-w800%5Ecompr-r85/5497/54976122/Shih+Tzu+Figurine.jpg', 'path': 'full/76c1cf038786e430060fd6ab41426b75d790ecbb.jpg', 'checksum': '80537a83799ebc654b8d40024b4a01a6'}]",CCOP4389
https://secure.img1-fg.wfcdn.com/im/21502095/resize-h800-w800%5Ecompr-r85/8769/87699029/Melanie+Umbrella+Couple+Courting+Figurine.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/21502095/resize-h800-w800%5Ecompr-r85/8769/87699029/Melanie+Umbrella+Couple+Courting+Figurine.jpg', 'path': 'full/69c045d783217e79ba618f5161b4b6b75a280cf3.jpg', 'checksum': '3d0c885748d7e6710f73d61703822410'}]",ELUR1009
https://secure.img1-fg.wfcdn.com/im/28243468/resize-h800-w800%5Ecompr-r85/8373/83733917/Frankfield+Dog+Statue.jpg,"[{'url': 'https://secure.img1-fg.wfcdn.com/im/28243468/resize-h800-w800%5Ecompr-r85/8373/83733917/Frankfield+Dog+Statue.jpg', 'path': 'full/26b20bfaeca84cde98de2d08aedb2a3843a9ca39.jpg', 'checksum': '22334755308eb1fcbd9d6534d1945d79'}]",HQQ5200
